manufacturericao,typecode,icao24
BOEING,B738,4875
AIRBUS,A320,4311
RAYTHEON,BE20,1916
AIRBUS,A321,1594
AIRBUS,A319,1457
BOEING,B737,1165
RAYTHEON,B350,984
RAYTHEON,H25B,846
RAYTHEON,TEX2,771
BOEING,B77W,769
RAYTHEON,BE40,750
AIRBUS,A333,703
BOEING,B752,696
BOEING,B763,672
AIRBUS,A332,643
EMBRAER,E190,571
BOEING,B739,497
BOEING,B744,450
LEARJET,LJ45,436
BOEING,B772,436
EMBRAER,E55P,430
RAYTHEON,B190,426
LEARJET,LJ60,416
BOEING,B733,401
AIRBUS,A20N,375
LEARJET,LJ35,374
RAYTHEON,GLEX,358
BOEING,K35R,354
BOEING,B789,346
EMBRAER,E50P,346
BOEING,B788,336
BOEING,B734,323
EMBRAER,E75L,313
RAYTHEON,PRM1,265
AIRBUS,A388,238
BOEING,B77L,236
AIRBUS,A359,211
AIRBUS,A306,196
BOEING,B735,195
LEARJET,LJ31,192
RAYTHEON,BE33,188
EMBRAER,E75S,173
EMBRAER,E170,168
RAYTHEON,BE30,164
EMBRAER,E195,161
BOEING,B712,152
RAYTHEON,BE36,148
AIRBUS,A343,137
BOEING,B748,132
LEARJET,LJ40,129
AIRBUS,A21N,124
LEARJET,LJ55,112
LEARJET,LJ75,111
EMBRAER,E45X,104
RAYTHEON,BE58,103
BOEING,B38M,102
BOEING,B762,100
BOEING,P8,90
BOEING,B732,87
EMBRAER,E135,81
AIRBUS,A346,78
RAYTHEON,HA4T,71
BOEING,B722,70
AIRBUS,A400,62
AIRBUS,A310,62
AIRBUS,A318,59
BOEING,B753,59
EMBRAER,E550,57
BOEING,B773,55
BOEING,B736,53
BOEING,E3TF,46
RAYTHEON,H25C,38
BOEING,B764,37
EMBRAER,E121,29
EMBRAER,E545,28
EMBRAER,AMX,27
BOEING,B742,27
AIRBUS,A35K,27
BOEING,R135,26
AIRBUS,A30B,25
EMBRAER,E110,23
BOEING,B78X,22
BOEING,C135,20
BOEING,E6,17
EMBRAER,E314,15
AIRBUS,A345,14
AIRBUS,A339,14
BOEING,E737,14
LEARJET,LJ70,13
BOEING,B17,12
BOEING,B721,11
AIRBUS,A342,11
BOEING,E3CF,11
BOEING,B74S,8
EMBRAER,E290,7
BOEING,BTX1,7
RAYTHEON,STAR,5
BOEING,BLCF,4
EMBRAER,E295,4
BOEING,B743,4
AIRBUS,A32N,3
BOEING,B77F,2
BOEING,B39M,2
BOEING,B741,2
AIRBUS,A19N,1
AIRBUS,A330,1
EMBRAER,KC39,1
AIRBUS,A320-214,1
AIRBUS,A338,1
AIRBUS,A350,1
BOEING,B138,1
BOEING,B29,1
BOEING,B701,1
AIRBUS,A320-271N,1
AIRBUS,A320-251N,1
BOEING,B74R,1
EMBRAER,E175,1
AIRBUS,A320-200,1
AIRBUS,A319-111,1
AIRBUS,330-243MRTT,1
BOEING,B783,1
BOEING,B787,1
AIRBUS,A337,1
BOEING,b737,1
AIRBUS,32N,1
